2015.04.06|LOCAL_HOLIDAY|Easter Monday
2015.05.04|BANK_HOLIDAY|Early May Bank Holiday
2015.05.25|BANK_HOLIDAY|Spring Bank Holiday
2015.08.31|LOCAL_HOLIDAY|Summer Bank Holiday
2015.12.25|BANK_HOLIDAY|Christmas Day
2015.12.26|BANK_HOLIDAY|Boxing Day
2015.12.28|BANK_HOLIDAY|Bank Holiday
2016.01.01|BANK_HOLIDAY|New Year's Day
2016.03.25|BANK_HOLIDAY|Good Friday
2016.03.28|LOCAL_HOLIDAY|Easter Monday
2016.05.02|BANK_HOLIDAY|Early May Bank Holiday
2016.05.30|BANK_HOLIDAY|Spring Bank Holiday
2016.08.29|LOCAL_HOLIDAY|Summer Bank Holiday
2016.12.25|BANK_HOLIDAY|Christmas Day
2016.12.26|BANK_HOLIDAY|Boxing Day
2016.12.27|BANK_HOLIDAY|Bank Holiday
2017.01.01|BANK_HOLIDAY|New Year's Day
2017.01.02|BANK_HOLIDAY|"New Year's Day" observed
2017.04.14|BANK_HOLIDAY|Good Friday
2017.04.17|LOCAL_HOLIDAY|Easter Monday
2017.05.01|BANK_HOLIDAY|Early May Bank Holiday
2017.05.29|BANK_HOLIDAY|Spring Bank Holiday
2017.08.28|LOCAL_HOLIDAY|Summer Bank Holiday
2017.12.25|BANK_HOLIDAY|Christmas Day
2017.12.26|BANK_HOLIDAY|Boxing Day
2018.01.01|BANK_HOLIDAY|New Year's Day
2018.03.30|BANK_HOLIDAY|Good Friday
2018.04.02|LOCAL_HOLIDAY|Easter Monday
2018.05.07|BANK_HOLIDAY|Early May Bank Holiday
2018.05.28|BANK_HOLIDAY|Spring Bank Holiday
2018.08.27|LOCAL_HOLIDAY|Summer Bank Holiday
2018.12.25|BANK_HOLIDAY|Christmas Day
2018.12.26|BANK_HOLIDAY|Boxing Day
2019.01.01|BANK_HOLIDAY|New Year's Day
2019.04.19|BANK_HOLIDAY|Good Friday
2019.04.22|LOCAL_HOLIDAY|Easter Monday
2019.05.06|BANK_HOLIDAY|Early May Bank Holiday
2019.05.27|BANK_HOLIDAY|Spring Bank Holiday
2019.08.26|LOCAL_HOLIDAY|Summer Bank Holiday
2019.12.25|BANK_HOLIDAY|Christmas Day
2019.12.26|BANK_HOLIDAY|Boxing Day
2020.01.01|BANK_HOLIDAY|New Year's Day
2020.04.10|BANK_HOLIDAY|Good Friday
2020.04.13|LOCAL_HOLIDAY|Easter Monday
2020.05.04|BANK_HOLIDAY|Early May Bank Holiday
2020.05.25|BANK_HOLIDAY|Spring Bank Holiday
2020.08.31|LOCAL_HOLIDAY|Summer Bank Holiday
2020.12.25|BANK_HOLIDAY|Christmas Day
2020.12.26|BANK_HOLIDAY|Boxing Day
2020.12.28|BANK_HOLIDAY|Bank Holiday
2021.01.01|BANK_HOLIDAY|New Year's Day
2021.04.02|BANK_HOLIDAY|Good Friday
2021.04.05|LOCAL_HOLIDAY|Easter Monday
2021.05.03|BANK_HOLIDAY|Early May Bank Holiday
2021.05.31|BANK_HOLIDAY|Spring Bank Holiday
